Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
и еще, аки от сна возбуждена, 	метнулася	 	на напастника своего давно сильнаго и	архиепископ Феофан (Прокопович). Слово о состоявшемся между империею Российскою и короною Шведскою мире (1722)	архиепископ Феофан (Прокопович)	1681	Слово о состоявшемся между империею Российскою и короною Шведскою мире	1722	церковно-богословская	слово	политика и общественная жизнь | религия	Избранные произведения русских мыслителей второй половины XVIII в. Том I	1952	книга	омонимия не снята	И как то истинно, что Россия слаба и нага, но и еще, аки от сна возбуждена, метнулася на напастника своего давно сильнаго и уже весьма на вред ея готоваго.
кем-нибудь скамейка заскрыпела, а все и 	метнулись	, 	как полуумные!» 	Н. В. Гоголь. Сорочинская ярмарка (1831-1832)	Н. В. Гоголь	1809	Сорочинская ярмарка	1831-1832	художественная	повесть | цикл		Большая хрестоматия. Русская литература XIX века	2003	книга	омонимия не снята	Под кем-нибудь скамейка заскрыпела, а все и метнулись, как полуумные!» 
не послушался конь: испуганный страшным криком, 	метнулся	 	на сторону, и достал его ружейною	Н. В. Гоголь. Тарас Бульба (1835-1841)	Н. В. Гоголь	1809	Тарас Бульба	1835-1841	художественная	повесть | цикл		Большая хрестоматия. Русская литература XIX века	2003	книга	омонимия не снята	Хотел было поворотить вдруг своего коня лях и стать ему в лицо; но не послушался конь: испуганный страшным криком, метнулся на сторону, и достал его ружейною пулею Кукубенко.
всё бешеное стадо, испуганное криком, и 	метнулось	 	на ляшские «полки, опрокинуло конницу, всех	Н. В. Гоголь. Тарас Бульба (1835-1841)	Н. В. Гоголь	1809	Тарас Бульба	1835-1841	художественная	повесть | цикл		Большая хрестоматия. Русская литература XIX века	2003	книга	омонимия не снята	Поворотилось назад всё бешеное стадо, испуганное криком, и метнулось на ляшские «полки, опрокинуло конницу, всех смяло и рассыпало.
Горковенко 	метнулся	 	за кулисы, но чуть было не	Д. В. Григорович. Капельмейстер Сусликов (1848)	Д. В. Григорович	1822	Капельмейстер Сусликов	1848	художественная	повесть		Д. В. Григорович. Избранные сочинения	1954	книга	омонимия не снята	Горковенко метнулся за кулисы, но чуть было не шлепнулся со всего размаху, столкнувшись с Сусликовым, который в страшных попыхах бежал на сцену.
уж человек, коли прямо на него 	метнулся	...		А. А. Потехин. Шуба овечья ― душа человечья (1854)	А. А. Потехин	1829	Шуба овечья ― душа человечья	1854	художественная	пьеса		Сочинения А. А. Потехина. Том девятый. Драмы и комедии	1905	книга	омонимия не снята	Видно, уж человек, коли прямо на него метнулся...
Он 	метнулся	 	со всех ног и схватил метлу.	Д. В. Григорович. Переселенцы (1855-1856)	Д. В. Григорович	1822	Переселенцы	1855-1856	художественная	роман		Д. В. Григорович. Избранные сочинения	1954	книга	омонимия не снята	Он метнулся со всех ног и схватил метлу.
необыкновенную; она выскочила на улицу, потом 	метнулась	 	к барскому дому, снова вернулась на	Д. В. Григорович. Переселенцы (1855-1856)	Д. В. Григорович	1822	Переселенцы	1855-1856	художественная	роман		Д. В. Григорович. Избранные сочинения	1954	книга	омонимия не снята	Пьяшка остолбенела; но это продолжалось секунду: каждый ее суставчик, каждая жилка получили вдруг прыткость необыкновенную; она выскочила на улицу, потом метнулась к барскому дому, снова вернулась на улицу, прокричала несколько раз сряду: «пожар! 
кой-какъ одѣвшись, не простясь съ архимандритомъ, 	метнулся	 	на крыльцо и вскочилъ на лошадь...	П. И. Мельников-Печерский. Старые годы. V. Въ монастырѣ // «Русский вестник», 1857	П. И. Мельников-Печерский	1818	Старые годы. V. Въ монастырѣ	1857	художественная	рассказ		«Русский вестник»	1857	журнал	омонимия не снята	И, кой-какъ одѣвшись, не простясь съ архимандритомъ, метнулся на крыльцо и вскочилъ на лошадь...
Клык наострит, слышь, да и 	метнется	 	за волком вдогонку, отбежит, знаешь, немного	C. В. Максимов. Из книги «Лесная глушь». Том 1 (1859)	C. В. Максимов	1831	Из книги «Лесная глушь». Том 1	1859	публицистика	очерк	частная жизнь	Максимов С. В. Избранное	1981	книга	омонимия не снята	Клык наострит, слышь, да и метнется за волком вдогонку, отбежит, знаешь, немного, а себя-таки помнит; сейчас и назад и опять задом в артель вотрется.
как за каждым вопросом хочет куда-то 	метнуться	.		Н. С. Лесков. Житие одной бабы (1863)	Н. С. Лесков	1831	Житие одной бабы	1863	художественная	повесть		Лесков Н. С. Энциклопедическое собрание сочинений		книга	омонимия не снята	Повторяет все это и из стороны в сторону качается, будто как за каждым вопросом хочет куда-то метнуться.
Лошади храпнули, 	метнулись	 	в сторону, и, прежде чем Помада	Н. С. Лесков. Некуда (1864)	Н. С. Лесков	1831	Некуда	1864	художественная	роман		Н. С. Лесков. Собрание сочинений в 12 т. Т. 4	1989	книга	омонимия не снята	Лошади храпнули, метнулись в сторону, и, прежде чем Помада мог что-нибудь сообразить, взвившаяся на дыбы пристяжная подобрала его под себя и, обломив утлые перила, вместе с ним свалилась с моста в реку.
	Метнется	 	отуманенная страстью пташка туда, метнется сюда	Н. С. Лесков. Некуда (1864)	Н. С. Лесков	1831	Некуда	1864	художественная	роман		Н. С. Лесков. Собрание сочинений в 12 т. Т. 4	1989	книга	омонимия не снята	Метнется отуманенная страстью пташка туда, метнется сюда, и вдруг на вашей щеке чувствуется прикосновение ее холодных лапок и мокрого, затрепанного фрачка, а над ухом раздается сладострастный вздох.
Метнется отуманенная страстью пташка туда, 	метнется	 	сюда, и вдруг на вашей щеке	Н. С. Лесков. Некуда (1864)	Н. С. Лесков	1831	Некуда	1864	художественная	роман		Н. С. Лесков. Собрание сочинений в 12 т. Т. 4	1989	книга	омонимия не снята	Метнется отуманенная страстью пташка туда, метнется сюда, и вдруг на вашей щеке чувствуется прикосновение ее холодных лапок и мокрого, затрепанного фрачка, а над ухом раздается сладострастный вздох.
с какими-то решительными намерениями, повязочки суетливо 	метнутся	 	из стороны в сторону, и все	Н. С. Лесков. Некуда (1864)	Н. С. Лесков	1831	Некуда	1864	художественная	роман		Н. С. Лесков. Собрание сочинений в 12 т. Т. 4	1989	книга	омонимия не снята	А дунет ветерок, гренадеры зашатаются с какими-то решительными намерениями, повязочки суетливо метнутся из стороны в сторону, и все это вдруг пригнется, юркнет в густую чащу початника; наверху не останется ни повязочки, ни султана, и только синие лопасти холостых стеблей шумят и передвигаются, будто давая кому-то место, будто сговариваясь о секрете и стараясь что-то укрыть от звонкого тростника, вечно шумящего своими болтливыми листьями.
но на полукурсе снова вдруг неожиданно 	метнулась	 	и смяла трубачову лошадь.	Н. С. Лесков. Некуда (1864)	Н. С. Лесков	1831	Некуда	1864	художественная	роман		Н. С. Лесков. Собрание сочинений в 12 т. Т. 4	1989	книга	омонимия не снята	Добрая лошадь повиновалась, но на полукурсе снова вдруг неожиданно метнулась и смяла трубачову лошадь.
крикнул Райнер и 	метнулся	 	во двор.	Н. С. Лесков. Некуда (1864)	Н. С. Лесков	1831	Некуда	1864	художественная	роман		Н. С. Лесков. Собрание сочинений в 12 т. Т. 4	1989	книга	омонимия не снята	крикнул Райнер и метнулся во двор.
Розанов 	метнулся	 	за ширмы.	Н. С. Лесков. Некуда (1864)	Н. С. Лесков	1831	Некуда	1864	художественная	роман		Н. С. Лесков. Собрание сочинений в 12 т. Т. 4	1989	книга	омонимия не снята	Розанов метнулся за ширмы.
Вот и собаки 	метнулись	 	было, да и стихли, – должно быть	Н. С. Лесков. Леди Макбет Мценского уезда (1865)	Н. С. Лесков	1831	Леди Макбет Мценского уезда	1865	художественная	очерк		Н. С. Лесков. Собрание сочинений	1993	книга	омонимия не снята	Вот и собаки метнулись было, да и стихли, – должно быть, ласкаться стали.
И она с ужасом быстро 	метнулась	 	в сторону от обязательного франта.	В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 5 (1867)	В. В. Крестовский	1840	Петербургские трущобы. Книга о сытых и голодных. Ч. 5	1867	художественная	роман		Крестовский В. В. Петербургские трущобы. Книга о сытых и голодных	1990	книга	омонимия не снята	И она с ужасом быстро метнулась в сторону от обязательного франта.
двадцать лет брошенного деевского дома словно 	метнулся	 	мерцающий огонек; и это его не	Н. С. Лесков. Чающие движения воды (1867)	Н. С. Лесков	1831	Чающие движения воды	1867	художественная	роман		Лесков Н. С. Энциклопедическое собрание сочинений		книга	омонимия не снята	Они обманывают прежде всего его зрение, которое видит, как в окне двадцать лет брошенного деевского дома словно метнулся мерцающий огонек; и это его не смущает, хотя ему известно, что этого никак не могло быть, но не могло быть по чему-то такому, чего он снова не вспомнит.
дьякон 	метнулся	 	назад и, выпустив Варнаву, искал, сверкая	Н. С. Лесков. Божедомы (1868)	Н. С. Лесков	1831	Божедомы	1868	художественная	роман		Лесков Н. С. Энциклопедическое собрание сочинений		книга	омонимия не снята	дьякон метнулся назад и, выпустив Варнаву, искал, сверкая глазами, виновного.
силой вырывая руку, наконец вырвала и 	метнулась	 	было в сторону, мимо его.	И. А. Гончаров. Обрыв (1869)	И. А. Гончаров	1812	Обрыв	1869	художественная	роман		И. А. Гончаров. Собрание сочинений в 8 томах	1979	книга	омонимия не снята	говорила она, сжимая зубы и с неестественной силой вырывая руку, наконец вырвала и метнулась было в сторону, мимо его.
из-под него выпорхнул голубь; лошадь испугалась, 	метнулась	 	в сторону и рухнула вместе с	Н. И. Воронов. Из путешествия по Дагестану (1870)	Н. И. Воронов	1832	Из путешествия по Дагестану	1870	публицистика	очерк	путешествия | наука и технологии	Опальные: Русские писатели открывают Кавказ. Антология: В 3 т. Т. 2	2011	книга	омонимия не снята	Один из наших проводников-лаков, говоривший немного по-русски, – прежде чем въехать на этот мосток, рассказал мне следующее: однажды ехал в Кумух какой-то армянин, и нужно же было, чтоб в тот самый миг, когда он проезжал средину мостка, вдруг из-под него выпорхнул голубь; лошадь испугалась, метнулась в сторону и рухнула вместе с всадником в пропасть...
тихо и вдруг вспыхнула: на нее 	метнулась	 	ночная бабочка и, опалив крылышки, прилипла	Н. С. Лесков. На ножах (1870)	Н. С. Лесков	1831	На ножах	1870	художественная	роман		Лесков Н. С. Энциклопедическое собрание сочинений		книга	омонимия не снята	Может быть, что ее испугала свеча, которая горела тихо и вдруг вспыхнула: на нее метнулась ночная бабочка и, опалив крылышки, прилипла к стеарину и затрепетала.
Лара опять 	метнулась	 	к двери, которая вела в столовую	Н. С. Лесков. На ножах (1870)	Н. С. Лесков	1831	На ножах	1870	художественная	роман		Лесков Н. С. Энциклопедическое собрание сочинений		книга	омонимия не снята	Лара опять метнулась к двери, которая вела в столовую, где спала тетка, и... с незнакомым до сих пор чувством страстного замирания сердца притворила эту дверь.
на ноги двум спавшим пассажирам, потом 	метнулся	 	назад, высунулся в окно, звал, кричал	Н. С. Лесков. На ножах (1870)	Н. С. Лесков	1831	На ножах	1870	художественная	роман		Лесков Н. С. Энциклопедическое собрание сочинений		книга	омонимия не снята	Почувствовав, что поезд тронулся и покатился, Иосаф Платонович заметался, затрясся, кинулся внутрь вагона, наступив на ноги двум спавшим пассажирам, потом метнулся назад, высунулся в окно, звал, кричал и наконец, быстро оторвавшись от окна, кинулся опрометью к двери и едва был удержан на вагонной ступени кондуктором: иначе он непременно слетел бы вниз и был бы или разрезан на рельсах, или сдавлен между буферами.
сначала в трубу, но потом внезапно 	метнулся	 	назад и заслонил всю комнату; послышался	Н. С. Лесков. На ножах (1870)	Н. С. Лесков	1831	На ножах	1870	художественная	роман		Лесков Н. С. Энциклопедическое собрание сочинений		книга	омонимия не снята	Бледная искра спички коснулась смолистых игол и красный огонь прыгнул по куче вереска, но тотчас же захлебнулся густым, желтым дымом, который было пополз сначала в трубу, но потом внезапно метнулся назад и заслонил всю комнату; послышался раздирающий писк, множество мелких существ зареяли, описывая в воздухе косые линии.
с дерева; рыба, в особенности большая, 	метнётся	, 	как молния, но никогда не в	Н. М. Пржевальский. Путешествие в Уссурийском крае. 1867-1869 гг (1870)	Н. М. Пржевальский	1839	Путешествие в Уссурийском крае. 1867-1869 гг	1870	учебно-научная	монография	география | биология | наука и технологии	Пржевальский Н. М. Путешествие в Уссурийском крае. 1867-1869 гг	1947	книга	омонимия не снята	Завидев место, где рябит вода от рыбы, или самую рыбу, гольд бросает в неё свое копьё, и железо, вонзившись в мясо, соскакивает с дерева; рыба, в особенности большая, метнётся, как молния, но никогда не в состоянии порвать крепкую бичёвку, за которую и вытаскивают её из воды.
я его, выстрелил; он словно угорелый 	метнулся	 	на меня, хватился о дерево так	С. В. Максимов. Сибирь и каторга (1871)	С. В. Максимов	1831	Сибирь и каторга	1871	публицистика	очерк	история | филология | криминал | администрация и управление	Максимов С. В. Каторга империи	2002	книга	омонимия не снята	Обманул я его, выстрелил; он словно угорелый метнулся на меня, хватился о дерево так, что-то застонало даже.
Первая мне на глаза 	метнулась	 	березка молоденькая, стоит передо мной с	С. В. Максимов. Сибирь и каторга (1871)	С. В. Максимов	1831	Сибирь и каторга	1871	публицистика	очерк	история | филология | криминал | администрация и управление	Максимов С. В. Каторга империи	2002	книга	омонимия не снята	Первая мне на глаза метнулась березка молоденькая, стоит передо мной с очей на очи.
их приказу стадом баранов, сломя голову 	метнулись	, 	куда им угодно?..	П. И. Мельников-Печерский. В лесах. Книга вторая (1871-1874)	П. И. Мельников-Печерский	1818	В лесах. Книга вторая	1871-1874	художественная	роман		П. И. Мельников-Печерский. Собрание сочинений	1976	книга	омонимия не снята	Им бы хотелось, чтоб мы по их приказу стадом баранов, сломя голову метнулись, куда им угодно?..
и конь рассвирепел, распалился как бешеный, 	метнулся	 	он на белого коня Елизара, и	Н. П. Вагнер. Сказки Кота-Мурлыки (1872)	Н. П. Вагнер	1829	Сказки Кота-Мурлыки	1872	художественная	сказка | цикл		Вагнер Н. П. Сказки Кота-Мурлыки	1991	книга	омонимия не снята	Пошатнулся колдун, побагровел, потемнел, ударил он со злобой вороного коня тяжелой булавой, и конь рассвирепел, распалился как бешеный, метнулся он на белого коня Елизара, и не выдержал белый конь: грянулся оземь, и вместе с ним полетел Елизар.
Куда ни 	метнусь	, 	нет никакого следа, да и полно	Н. С. Лесков. Очарованный странник (1873)	Н. С. Лесков	1831	Очарованный странник	1873	художественная	повесть		Н. С. Лесков. Собрание сочинений	1993	книга	омонимия не снята	Куда ни метнусь, нет никакого следа, да и полно: погубил он ее, что ли, злодей, ножом, или пистолетом застрелил и где-нибудь в лесу во рву бросил да сухою листвою призасыпал, или в воде утопил...
заслышав вдали топот лошадиных копыт, стремглав 	метнется	 	в сторону и с быстротой вольного	П. И. Мельников-Печерский. На горах. Книга первая (1875-1881)	П. И. Мельников-Печерский	1818	На горах. Книга первая	1875-1881	художественная	роман		П. И. Мельников-Печерский. Собрание сочинений	1976	книга	омонимия не снята	Намокшие тра́вы низко склонились к земле, примолкло все живое, притихло, лишь изредка на роняющей желтые листья березе закаркает отчаянно мокрая ворона, либо серый, летом отъевшийся русак, весь осклизлый от мокрети, высунет, прядая ушами, головку из растрепанного ветром, полузасохшего бурьяна и, заслышав вдали топот лошадиных копыт, стремглав метнется в сторону и с быстротой вольного ветра клу́бом покатится по полю, направляя пугливый свой бег к перелеску.
То туда, в город, 	метнется	, 	то сюда.	Г. П. Данилевский. Потемкин на Дунае (1876)	Г. П. Данилевский	1829	Потемкин на Дунае	1876	художественная	роман		Авантюристы: Из эпохи царствования Екатерины Великой	1995	книга	омонимия не снята	То туда, в город, метнется, то сюда.
потянул в другую сторону, она снова 	метнулась	 	и опять лбом в запертый сарай	Н. С. Лесков. Железная воля (1876)	Н. С. Лесков	1831	Железная воля	1876	художественная	рассказ		Н. С. Лесков. Собрание сочинений	1993	книга	омонимия не снята	Он ее потянул в другую сторону, она снова метнулась и опять лбом в запертый сарай – на этот раз так больно стукнулась, что даже головою замотала.
от него свои руки, «сумасшедший жид» 	метнулся	 	вперед, как кошка, которая была заперта	Н. С. Лесков. Владычный суд (1877)	Н. С. Лесков	1831	Владычный суд	1877	художественная	рассказ		Лесков Н. С. Энциклопедическое собрание сочинений		книга	омонимия не снята	И лишь только те отняли от него свои руки, «сумасшедший жид» метнулся вперед, как кошка, которая была заперта в темном шкафе и перед которою вдруг неожиданно раскрылись дверцы.
вскрикнула чайка, в воде засуетились раки, 	метнулась	 	щука; целая стая куличков-песочников испуганно	И. А. Салов. Мельница купца Чесалкина // «Отечественные записки», 1877	И. А. Салов	1834	Мельница купца Чесалкина	1877	художественная	рассказ		«Отечественные записки»	1877	журнал	омонимия не снята	Шарахнулась цапля, вскрикнула чайка, в воде засуетились раки, метнулась щука; целая стая куличков-песочников испуганно пролетела почти над вашей головой; замахал над вами чибис белыми крыльями и в ту же минуту скрылся во мраке...
Спустили лодку; что-то 	метнулось	 	в воде и плеснуло.	И. А. Салов. Мельница купца Чесалкина // «Отечественные записки», 1877	И. А. Салов	1834	Мельница купца Чесалкина	1877	художественная	рассказ		«Отечественные записки»	1877	журнал	омонимия не снята	Спустили лодку; что-то метнулось в воде и плеснуло.
пригнулся, зорко взглянул в воду; острога 	метнулась	 	у меня в глазах, раздался плеск	И. А. Салов. Мельница купца Чесалкина // «Отечественные записки», 1877	И. А. Салов	1834	Мельница купца Чесалкина	1877	художественная	рассказ		«Отечественные записки»	1877	журнал	омонимия не снята	Вдруг дьякон пригнулся, зорко взглянул в воду; острога метнулась у меня в глазах, раздался плеск, и огромная щука была на дне лодки.
Вася вдругъ 	метнулся	, 	глухо простоналъ, рука приподнялась и тутъ	М. К. Иогель. Между вѣчностью и минутой // «Русская Мысль», 1880	М. К. Иогель	1848	Между вѣчностью и минутой	1880	художественная	роман		«Русская Мысль»	1880	журнал	омонимия не снята	Вася вдругъ метнулся, глухо простоналъ, рука приподнялась и тутъ-же, будто онѣмѣвъ, пала на грудь.
неповинною старухою, а лѣвый такъ и 	метнулся	 	въ свой излюбленный уголокь.	М. К. Иогель. Между вѣчностью и минутой // «Русская Мысль», 1880	М. К. Иогель	1848	Между вѣчностью и минутой	1880	художественная	роман		«Русская Мысль»	1880	журнал	омонимия не снята	отрѣзала Юлія Игватьевна, и правый глазъ ея, какъ самъ демонъ зла, остолбенѣлъ надъ неповинною старухою, а лѣвый такъ и метнулся въ свой излюбленный уголокь.
Николай 	метнулся	...		М. К. Иогель. Между вѣчностью и минутой // «Русская Мысль», 1880	М. К. Иогель	1848	Между вѣчностью и минутой	1880	художественная	роман		«Русская Мысль»	1880	журнал	омонимия не снята	Николай метнулся...
Он 	метнулся	 	по комнате в угол, потом подошел	П. Д. Боборыкин. Китай-город (1882)	П. Д. Боборыкин	1836	Китай-город	1882	художественная	роман		Сочинения. В 3 т. Т. 2	1993	книга	омонимия не снята	Он метнулся по комнате в угол, потом подошел к кровати, взялся за спинку; ему ударило в голову.
солидности и холопской важности, также испуганно 	метнулись	 	за великим князем, словно овцы, крестясь	Д. Л. Мордовцев. Господин Великий Новгород (1882)	Д. Л. Мордовцев	1830	Господин Великий Новгород	1882	художественная	роман					омонимия не снята	Бояре, при всей своей татарской солидности и холопской важности, также испуганно метнулись за великим князем, словно овцы, крестясь и повторяя: «Охте-хте! 
Тонкий пласт разорвался и 	метнулся	 	в сторону...	А. И. Эртель. Волхонская барышня (1883)	А. И. Эртель	1855	Волхонская барышня	1883	художественная	повесть		Эртель А. И. Волхонская барышня: Повести	1984	книга	омонимия не снята	Тонкий пласт разорвался и метнулся в сторону...
Буйно 	метнулся	 	ветер в трубу и заголосил там	А. И. Эртель. Записки Степняка (1883)	А. И. Эртель	1855	Записки Степняка	1883	художественная | публицистика	очерк | рассказ		Эртель А. И. Записки Степняка. Очерки и рассказы	1858	книга	омонимия не снята	Буйно метнулся ветер в трубу и заголосил там, точно баба над покойником.
во все стороны и потом сразу 	метнулся	 	вбок, схватил, вероятно, брошенный кусочек мяса	А. А. Черкасов. Из записок сибирского охотника (Часть 3) (1884)	А. А. Черкасов	1834	Из записок сибирского охотника (Часть 3)	1884	публицистика	очерк	природа | частная жизнь	А. А. Черкасов. Из записок сибирского охотника (Часть 3)	1987	книга	омонимия не снята	Нервная, но вместе с тем приятная дрожь пробегала по моему телу, а глаза не сводили напряженного взора с приближающегося зверя, который шел не вдруг, но часто останавливался, прислушивался, озирался во все стороны и потом сразу метнулся вбок, схватил, вероятно, брошенный кусочек мяса от падлы и потом, припав к снегу, точно пополз к манящему его падлу.
его родному городу угрожала гибель, он 	метнулся	 	в Москву ходатайствовать за него – и	Д. Л. Мордовцев. Москва слезам не верит (1885)	Д. Л. Мордовцев	1830	Москва слезам не верит	1885	художественная	повесть		Мордовцев Д. Л. Москва слезам не верит	1993	книга	омонимия не снята	И вот когда его родному городу угрожала гибель, он метнулся в Москву ходатайствовать за него – и первым делом постучался в дверь своего друга, строителя Успенского собора, которого великий князь ставил выше всех своих вельмож и родовитых князей Рюриковичей, потому что этот «тальянский немчин» научил Русь чеканить монету, отливать большие колокола и управляться с пушкарским делом.
из берлоги, обыкновенно направляется, т. е. 	метнется	, 	вбок, к югу, то из этого	Л. П. Сабанеев. Охотничий календарь (1885)	Л. П. Сабанеев	1844	Охотничий календарь	1885	публицистика	монография | календарь	природа | досуг, зрелища и развлечения | спорт	Москва, издание А. А. Карцева, 1896	1885	книга	омонимия не снята	Так как чело берлоги обращено почти всегда на восток, а медведь, выскочивший из берлоги, обыкновенно направляется, т. е. метнется, вбок, к югу, то из этого следует, что всегда удобнее становиться, если позволяет местность, на юго-восток от отверстия.
толпа, сотни въ три, неудержимо лихо 	метнулась	 	по направленію къ кремлю и Пречистенскимъ	Е. А. Салиас. Свадебный бунт (1886)	Е. А. Салиас	1840	Свадебный бунт	1886	художественная	роман		Собранiе сочиненiй графа Е. А. Салiаса. Томъ VII	1903	книга	омонимия не снята	И среди темноты густая, но небольшая толпа, сотни въ три, неудержимо лихо метнулась по направленію къ кремлю и Пречистенскимъ воротамъ.
Онъ порывисто 	метнулся	 	въ своемъ углу, но сейчасъ же	О. А. Шапир. Без любви // «Вестник Европы», № 2-№ 5, СПб.: 1886	О. А. Шапир	1850	Без любви	1886	художественная	роман		«Вестник Европы», № 2-№ 5, СПб.: 1886	1886	журнал	омонимия не снята	Онъ порывисто метнулся въ своемъ углу, но сейчасъ же ударился рукою о дверь и принялъ прежнюю позу.
За ним 	метнулась	 	фигура...	Е. А. Салиас. Фрейлина императрицы (1887)	Е. А. Салиас	1842	Фрейлина императрицы	1887	художественная	роман		Салиас де Турнемир Е. А. Фрейлина императрицы	1995	книга	омонимия не снята	За ним метнулась фигура...
Писарь побледнел и как-то 	метнулся	 	к Чепурникову, но тот уже вскочил	В. Г. Короленко. Черкес (1888)	В. Г. Короленко	1853	Черкес	1888	художественная	очерк		В. Г. Короленко. Собрание сочинений в десяти томах. Том 1. Повести и рассказы	1953	книга	омонимия не снята	Писарь побледнел и как-то метнулся к Чепурникову, но тот уже вскочил, как ужаленный, сел на стул и протирал глаза: 
Лагутка 	метнулся	 	от коровы.	А. Л. Бостром. Лагутка (1889)	А. Л. Бостром	1854	Лагутка	1889	художественная	рассказ		А. Л. Бостром. Рассказы и очерки. Куйбышев: Кн. изд-во, 1983	1983	книга	омонимия не снята	Лагутка метнулся от коровы.
высвободилась из моих рук и испуганно 	метнулась	 	в сторону…	И. Л. Леонтьев-Щеглов. Корделия (Страничка жизни) (1889)	И. Л. Леонтьев-Щеглов	1856	Корделия (Страничка жизни)	1889	художественная	повесть		Спутники Чехова. / Под ред. В. Б. Катаева	1982	книга	омонимия не снята	Но тут она вдруг высвободилась из моих рук и испуганно метнулась в сторону…
кто-то, пробегая мимо, и кучка кустарей 	метнулась	 	за ним.	В. Г. Короленко. Павловские очерки (1889-1890)	В. Г. Короленко	1853	Павловские очерки	1889-1890	публицистика	очерк | цикл		В. Г. Короленко. Собр. соч. Т. 5. Библиотека «Огонек»	1953	книга	омонимия не снята	сказал кто-то, пробегая мимо, и кучка кустарей метнулась за ним.
Вот еще одна Зевсова стрела 	метнулась	 	в бездонную пропасть...	В. Г. Короленко. Тени (1889-1890)	В. Г. Короленко	1853	Тени	1889-1890	художественная	рассказ		В. Г. Короленко. Собрание сочинений в десяти томах. Том 2. Повести и рассказы	1953	книга	омонимия не снята	Вот еще одна Зевсова стрела метнулась в бездонную пропасть...
Пророчица 	метнулась	 	вверх прямым, быстрым скачком рыбы, блеснувшей	А. В. Амфитеатров. Княжна (1889-1895)	А. В. Амфитеатров	1862	Княжна	1889-1895	художественная	роман		А. В. Амфитеатров. Собрание сочинений в 10 томах. Т. 1	2000	книга	омонимия не снята	Пророчица метнулась вверх прямым, быстрым скачком рыбы, блеснувшей над водою, и, тяжело шлепнувшись на пол руками, выгнулась дугою.
испуганно взглянув на Литту, узнала его, 	метнулась	 	из стороны в сторону и, часто	М. Н. Волконский. Мальтийская цепь (1891)	М. Н. Волконский	1860	Мальтийская цепь	1891	художественная	роман		М. Н. Волконский. Сочинения: В 3 томах. Том 3: Мальтийская цепь. «Ищите и найдете». Гамлет XVIII века: Романы	1995	книга	омонимия не снята	Старушка-няня в белом чепце тоже привстала со своего места и, испуганно взглянув на Литту, узнала его, метнулась из стороны в сторону и, часто заморгав своими слипающимися старческими глазами и умигивая навернувшиеся слезы, как тень, проскользнула мимо Литты и вышла из комнаты.
Те 	метнулись	 	с громким криком в разные стороны	В. П. Желиховская. Как я была маленькой (1891)	В. П. Желиховская	1835	Как я была маленькой	1891	художественная	повесть				электронный текст	омонимия не снята	Те метнулись с громким криком в разные стороны; большие даже взмахнули сильными крыльями и полетели, но гусыня сейчас же снова тяжело опустилась на воду, собирая и подгоняя своих перепуганных детей.
