Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
	Метнулся	 	Ларька, услужливо подставил стул, генерал плюхнулся	Е. И. Замятин. На куличках (1913)	Е. И. Замятин	1884	На куличках	1913	художественная	повесть				книга	омонимия не снята	Метнулся Ларька, услужливо подставил стул, генерал плюхнулся, как мешок.
	Метнулись	 	искать Луку Петровича, насилу-насилу откопали	Е. И. Замятин. Три дня (1913)	Е. И. Замятин	1884	Три дня	1913	художественная	рассказ		Е. И. Замятин. Избранные произведения в двух томах. Том первый. М.: Художественная литература, 1990	1990	книга	омонимия не снята	Метнулись искать Луку Петровича, насилу-насилу откопали где-то.
с отчаянием утопающего 	метнулся	 	Зискинд и торопливо зажужжал, как муха	Ф. Д. Крюков. Неопалимая Купина // «Русское Богатство», 1913	Ф. Д. Крюков	1870	Неопалимая Купина	1913	художественная	рассказ		«Русское Богатство»	1913	журнал	омонимия не снята	с отчаянием утопающего метнулся Зискинд и торопливо зажужжал, как муха, попавшая в паутину.
Мамалыга 	метнулся	 	в их сторону...	Ф. Д. Крюков. Неопалимая Купина // «Русское Богатство», 1913	Ф. Д. Крюков	1870	Неопалимая Купина	1913	художественная	рассказ		«Русское Богатство»	1913	журнал	омонимия не снята	Мамалыга метнулся в их сторону...
	Метнулся	 	было в сторону, как заяц испуганный	А. А. Селиванов. Под старыми соснами // «Пробуждение» № 21, 1913	А. А. Селиванов	1876	Под старыми соснами	1913	художественная	рассказ		«Пробуждение» № 21, 1913	1913	журнал	омонимия не снята	Метнулся было в сторону, как заяц испуганный, но увидел старца и уставился на него.
детях тряпье; собаки, как развернутая пружина, 	метнулись	 	на шкап, повозились и улеглись.	А. С. Серафимович. Странная ночь (1913)	А. С. Серафимович	1863	Странная ночь	1913	художественная	рассказ		А. С. Серафимович. Собр. соч.: В 4 т. Т. 4	1980	книга	омонимия не снята	При звуке ее голоса все успокоилось: Ирина Николаевна перестала кричать; мужчина лежал на спине, глядя в потолок мутно-стеклянными глазами, и часто дышал; тихо шевелилось на детях тряпье; собаки, как развернутая пружина, метнулись на шкап, повозились и улеглись.
среди веселого морозного звона просыпающихся церквей 	метнулся	 	дикий, звериный, так знакомый Ирине Николаевне	А. С. Серафимович. Странная ночь (1913)	А. С. Серафимович	1863	Странная ночь	1913	художественная	рассказ		А. С. Серафимович. Собр. соч.: В 4 т. Т. 4	1980	книга	омонимия не снята	И среди гомона, говора, хохота, среди высоких строгих домов с бесчисленными окнами, среди веселого морозного звона просыпающихся церквей метнулся дикий, звериный, так знакомый Ирине Николаевне крик: 
некотором отдалении за ним черным призраком 	метнулась	 	знакомая фигура и приникла в тень	А. М. Федоров. Его глаза (1913)	А. М. Федоров	1868	Его глаза	1913	художественная	роман		А. М. Федоров. Его глаза. Роман	1913	книга	омонимия не снята	А померещилось ему, когда он нечаянно обернулся, проходя в калитку дома, где жила Ларочка, что в некотором отдалении за ним черным призраком метнулась знакомая фигура и приникла в тень к забору.
Девушка испуганно 	метнулась	 	в сторону.	Г. А. Яблочков. Дама в трауре (1913)	Г. А. Яблочков	1869	Дама в трауре	1913	художественная	рассказ		Г. А. Яблочков. Рассказы	1912	книга	омонимия не снята	Девушка испуганно метнулась в сторону.
Разъезд осадил, 	метнулся	 	в сторону, одна лошадь упала, другая	Г. А. Яблочков. Рекогносцировка (1913)	Г. А. Яблочков	1869	Рекогносцировка	1913	художественная	рассказ		Г. А. Яблочков. Рассказы	1912	книга	омонимия не снята	Разъезд осадил, метнулся в сторону, одна лошадь упала, другая понеслась без всадника, а мы уже садились в седла, – шашки вон! 
Желтый пес, сенбернар, с радостным ревом 	метнулся	 	чрез комнату и, подпрыгнув, пал мохнатыми	Андрей Белый. Петербург (1913-1914)	Андрей Белый	1880	Петербург	1913-1914	художественная	роман		Андрей Белый. Петербург: Роман	1999	книга	омонимия не снята	Желтый пес, сенбернар, с радостным ревом метнулся чрез комнату и, подпрыгнув, пал мохнатыми лапами прямо особе на грудь.
