Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
Как бешеный, 	рванулся	 	он, вырвался из рук державших его	Н. А. Полевой. Клятва при гробе Господнем (1832)	Н. А. Полевой	1796	Клятва при гробе Господнем	1832	художественная	повесть		Полевой Н. А. Избранная историческая проза	1990	книга	омонимия не снята	Как бешеный, рванулся он, вырвался из рук державших его воинов, вскочил и бросился к столу, где лежал меч его.
с своею жертвою к реке, вдруг 	рванулся	 	с воплем, бросился на землю пред	А. Ф. Вельтман. Кощей бессмертный. Былина старого времени (1833)	А. Ф. Вельтман	1800	Кощей бессмертный. Былина старого времени	1833	художественная	повесть		Вельтман А. Ф. Романы	1985	книга	омонимия не снята	Очнувшись от беспамятства, он обвел кругом помутившиеся взоры, остановил их на толпе женщин, подошедших уже с своею жертвою к реке, вдруг рванулся с воплем, бросился на землю пред Тиуном и жилыми сельскими людьми и возопил: 
	Рванулcя	... 	веревки лопнули, все державшие его разлетелись	А. Ф. Вельтман. Кощей бессмертный. Былина старого времени (1833)	А. Ф. Вельтман	1800	Кощей бессмертный. Былина старого времени	1833	художественная	повесть		Вельтман А. Ф. Романы	1985	книга	омонимия не снята	Рванулcя... веревки лопнули, все державшие его разлетелись в стороны...
Налет 	рванулся	, 	перервал свою свору и кинулся с	М. Н. Загоскин. Аскольдова могила (1833)	М. Н. Загоскин	1789	Аскольдова могила	1833	художественная	роман				книга	омонимия не снята	Налет рванулся, перервал свою свору и кинулся с громким лаем в сторону.
лошадь кнутом и присвиснув; добрый конь 	рванулся	... 	но Юрий, коего силы удвоило отчаяние	М. Ю. Лермонтов. Вадим (1833-1834)	М. Ю. Лермонтов	1814	Вадим	1833-1834	художественная	роман		Лермонтов М. Ю. Собрание сочинений: В 4 т	1981	книга	омонимия не снята	продолжал он, ударив лошадь кнутом и присвиснув; добрый конь рванулся... но Юрий, коего силы удвоило отчаяние, так крепко вцепился в узду, что лошадь принуждена была кинуться в сторону; между тем колесо телеги сильно ударилось о камень, и она едва не опрокинулась; мужик, потерявший равновесие, упал, но не выпустил вожжи; он уж занес ногу, чтоб опять вскочить в телегу, когда неожиданный удар по голове поверг его на землю и сильная рука вырвала вожжи...
Все 	рванулось	 	вперед, и не знаю, как вам	Н. А. Полевой. Рассказы русского солдата (1834)	Н. А. Полевой	1796	Рассказы русского солдата	1834	художественная	рассказ		Русские повести XIX века 20-30-х годов. Том второй	1950	книга	омонимия не снята	Все рванулось вперед, и не знаю, как вам сказать, ваше благородие: крик, пальба, бежишь, спотыкаешься на мертвого, топчешь живого – барабаны, пушки, треск, стон – вдруг шаркнули в нас картечью; слева хватили гусары – народ валится один на другого – я упал; на меня попадала целая груда товарищей – слышу, как ездят через нас лошади...
И 	рванулись	 	снова козаки так, как бы и	Н. В. Гоголь. Тарас Бульба (1835-1841)	Н. В. Гоголь	1809	Тарас Бульба	1835-1841	художественная	повесть | цикл		Большая хрестоматия. Русская литература XIX века	2003	книга	омонимия не снята	И рванулись снова козаки так, как бы и потерь никаких не потерпели.
вперед, и вдруг, выбежав из-за высот, 	рванулись	 	на нас, предшествуемые адским огнем многочисленной	Д. В. Душенкевич. Из моих воспоминаний от 1812-го года до (1815-го года) (1838)	Д. В. Душенкевич	1797	Из моих воспоминаний от 1812-го года до (1815-го года)	1838	публицистика	мемуары		1812 год в воспоминаниях современников	1985	книга	омонимия не снята	Часу во втором, под прикрытием небольших возвышений, пред нашим флангом находившихся, французы, устроив сильные батареи со множеством густых колонн, выслали охотников вперед, и вдруг, выбежав из-за высот, рванулись на нас, предшествуемые адским огнем многочисленной своей артиллерии; от сего застонала родная земля под нами, ее верными защитниками.
Соколики захлопали ушами, как легавые собаки, 	рванулись	 	вперед и стали.	М. Н. Загоскин. Искуситель (1838)	М. Н. Загоскин	1789	Искуситель	1838	художественная	роман		М. Н. Загоскин. Аскольдова могила. Романы. Повести	1989	книга	омонимия не снята	Соколики захлопали ушами, как легавые собаки, рванулись вперед и стали.
И 	рванулось	 	же море когда-то, но поглотило оно	А. А. Григорьев. Листки из рукописи скитающегося софиста (1843-1844)	А. А. Григорьев	1822	Листки из рукописи скитающегося софиста	1843-1844	публицистика	мемуары		Аполлон Григорьев. Воспоминания	1980	книга	омонимия не снята	И рванулось же море когда-то, но поглотило оно землю своей беспредельностью, но без брата огня не могло оно уничтожить своего врага...
