Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
положила конфетку в рот и вдруг 	рванулась	 	с места.	М. С. Шагинян. Месс-Менд, или Янки в Петрограде (1923-1924-1954)	М. С. Шагинян	1888	Месс-Менд, или Янки в Петрограде	1923-1924 | 1954	художественная	роман		Мариэтта Шагинян. Месс-менд	1988	книга	омонимия не снята	Она положила конфетку в рот и вдруг рванулась с места.
Я 	рванулся	 	со всех ног вперед, опередил его	М. С. Шагинян. Месс-Менд, или Янки в Петрограде (1923-1924-1954)	М. С. Шагинян	1888	Месс-Менд, или Янки в Петрограде	1923-1924 | 1954	художественная	роман		Мариэтта Шагинян. Месс-менд	1988	книга	омонимия не снята	Я рванулся со всех ног вперед, опередил его шагов на двадцать, завернул за угол и стрелой влетел в узкое отверстие.
собою, круто повернул баранку, и машина 	рванулась	.		М. С. Шагинян. Месс-Менд, или Янки в Петрограде (1923-1924-1954)	М. С. Шагинян	1888	Месс-Менд, или Янки в Петрограде	1923-1924 | 1954	художественная	роман		Мариэтта Шагинян. Месс-менд	1988	книга	омонимия не снята	Жестом он пригласил Артура занять место рядом с собою, круто повернул баранку, и машина рванулась.
	Рванулась	 	Чирика – и целый пучок перьев оставила	В. В. Бианки. Лесные были и небылицы (1923-1958)	В. В. Бианки	1894	Лесные были и небылицы	1923-1958	художественная	рассказ | сказка	природа	Бианки В. Лесные были и небылицы	1969	книга	омонимия не снята	Рванулась Чирика – и целый пучок перьев оставила в когтях у кота.
Со всех силенок 	рванулась	 	Уточка.	В. В. Бианки. Лесные были и небылицы (1923-1958)	В. В. Бианки	1894	Лесные были и небылицы	1923-1958	художественная	рассказ | сказка	природа	Бианки В. Лесные были и небылицы	1969	книга	омонимия не снята	Со всех силенок рванулась Уточка.
Но вот Гуде 	рванулся	, 	издал какой-то звук, не то стон	С. Ауслендер. Черный вождь // «Юные строители», 1924	С. Ауслендер	1886	Черный вождь	1924	художественная	повесть		«Юные строители»	1924	журнал	омонимия не снята	Но вот Гуде рванулся, издал какой-то звук, не то стон, не то заглушенный крик.
видимо, он больно оцарапал Гуде; тот 	рванулся	 	еще сильнее, и леопард улыбнулся злобно	С. Ауслендер. Черный вождь // «Юные строители», 1924	С. Ауслендер	1886	Черный вождь	1924	художественная	повесть		«Юные строители»	1924	журнал	омонимия не снята	Леопард тяжело положил его своей лапой обратно; видимо, он больно оцарапал Гуде; тот рванулся еще сильнее, и леопард улыбнулся злобно и насмешливо; шерсть слегка ощетинилась, он начинал сердиться.
Голова из зелени 	рванулась	 	вперед, глаза ее покинули Александра Семеновича	М. А. Булгаков. Роковые яйца (1924)	М. А. Булгаков	1891	Роковые яйца	1924	художественная	повесть		М. Булгаков. Собрание сочинений. - Т. 3: Дьяволиада: повести, рассказы и фельетоны 20-х годов	2002	книга	омонимия не снята	Голова из зелени рванулась вперед, глаза ее покинули Александра Семеновича, отпустив его душу на покаяние.
спасена всякая душа, глыба растает, сердце 	рванется	 	в ответ этой любви, этой чистоте	С. Н. Булгаков. Дневник (1924)	С. Н. Булгаков	1871	Дневник	1924	бытовая	дневник, записные книжки	политика и общественная жизнь | частная жизнь | религия	Булгаков С. Дневник духовный. М.: Общедоступный православный университет, 2003	2003	книга	омонимия не снята	Слово бессильно выразить эту мысль и это чувство, но для меня было ясно, что, если бы открылась такая любовь и когда она откроется, ею, этою любовию, будет покорена и спасена всякая душа, глыба растает, сердце рванется в ответ этой любви, этой чистоте, жалости, страданию.
упал на них, а испуганный жеребчик 	рванулся	 	и чуть не ускакал один.	И. А. Бунин. Митина любовь (1924)	И. А. Бунин	1870	Митина любовь	1924	художественная	повесть		И. А. Бунин. Стихотворения. Рассказы. Повести	1973	книга	омонимия не снята	Трифон не остался в долгу, поставил и с своей стороны бутылку, и староста так напился, что не сразу сел на дрожки, сперва упал на них, а испуганный жеребчик рванулся и чуть не ускакал один.
полоснули – живое тѣло должно было дернуться, 	рвануться	.		Горный Сергѣй. «Его» портретъ // Вѣстникъ Главнаго Правленія Общества Галлиполійцевъ, 1924	Горный Сергѣй	1882	«Его» портретъ	1924	публицистика	эссе	армия и вооруженные конфликты	Вѣстникъ Главнаго Правленія Общества Галлиполійцевъ	1924	журнал	омонимия не снята	Когда надъ живымъ мясомъ подняли ржавый, мясничій ножъ въ Брестъ-Литовскѣ и полоснули – живое тѣло должно было дернуться, рвануться.
Но она дернулась, сжалась, 	рванулась	.		Горный Сергѣй. «Его» портретъ // Вѣстникъ Главнаго Правленія Общества Галлиполійцевъ, 1924	Горный Сергѣй	1882	«Его» портретъ	1924	публицистика	эссе	армия и вооруженные конфликты	Вѣстникъ Главнаго Правленія Общества Галлиполійцевъ	1924	журнал	омонимия не снята	Но она дернулась, сжалась, рванулась.
поймал небольшие Зинины груди и... вскрикнув, 	рванулась	 	Зина в сторону.	Б. Губер. Шарашкина контора (1924)	Б. Губер	1903	Шарашкина контора	1924	художественная	повесть				книга	омонимия не снята	И когда юбка тяжело скользнула вниз, черным подолом погасив розовое тепло – Семка протянул руки вперед, скрюченными пальцами поймал небольшие Зинины груди и... вскрикнув, рванулась Зина в сторону.
посмотрело на Володю Студента и внезапно 	рванулось	 	к двери.	В. А. Каверин. Конец хазы (1924)	В. А. Каверин	1902	Конец хазы	1924	художественная	повесть		Каверин В. А. Два капитана. Конец Хазы	2005	книга	омонимия не снята	Лицо обвело кухню глазами, посмотрело на Володю Студента и внезапно рванулось к двери.
Орлов 	рванулся	, 	но сейчас же треснули тяжелым по	Б. А. Лавренев. Рассказ о простой вещи (1924)	Б. А. Лавренев	1891	Рассказ о простой вещи	1924	художественная	повесть		Повести и рассказы	1965	книга	омонимия не снята	Орлов рванулся, но сейчас же треснули тяжелым по голове, и он упал на грязный пол, ударившись челюстью.
схватил ее за юбку, но она 	рванулась	 	и умчалась.	Л. М. Леонов. Барсуки (1924)	Л. М. Леонов	1899	Барсуки	1924	художественная	роман		Леонов Л. М. Собр. соч.: В 10-ти т. Т.2	1982	книга	омонимия не снята	и кто-то схватил ее за юбку, но она рванулась и умчалась.
его, она подняла голую руку, он 	рванулся	, 	скользнул, присосался губами к бритой мышке	В. В. Набоков. Картофельный эльф (1924)	В. В. Набоков	1899	Картофельный эльф	1924	художественная	рассказ		Набоков В. В. С. С. в 4 т	1990	книга	омонимия не снята	Откидывая его, она подняла голую руку, он рванулся, скользнул, присосался губами к бритой мышке, к горячей, чуть колючей впадине.
	Рванулся	 	он, – и зеленое платье Клары поплыло	В. В. Набоков. Катастрофа (1924)	В. В. Набоков	1899	Катастрофа	1924	художественная	рассказ		Набоков В. В. С. С. в 4 т	1990	книга	омонимия не снята	Рванулся он, – и зеленое платье Клары поплыло, уменьшилось, превратилось в зеленый стеклянный колпак лампы.
Он 	рванулся	 	опять, – лампа расплылась зеленым сиянием, и	В. В. Набоков. Катастрофа (1924)	В. В. Набоков	1899	Катастрофа	1924	художественная	рассказ		Набоков В. В. С. С. в 4 т	1990	книга	омонимия не снята	Он рванулся опять, – лампа расплылась зеленым сиянием, и Марк увидел себя самого, поодаль, сидящего рядом с Кларой – и не успел увидеть, как уже сам касался коленом ее теплой шелковой юбки.
временем на ростры вкатилась тысячепудовая волна, 	рванулась	 	со страшной силой, и шлюпка с	А. С. Новиков-Прибой. «Коммунист» в походе (1924)	А. С. Новиков-Прибой	1877	«Коммунист» в походе	1924	художественная	рассказ		Новиков-Прибой А. С. В бухте Отрада	1977	книга	омонимия не снята	А тем временем на ростры вкатилась тысячепудовая волна, рванулась со страшной силой, и шлюпка с грохотом полетела за борт.
Последнее, обезумев от боли, 	рванулось	 	в сторону, вырвало весло из рук	В. А. Обручев. Плутония (1924)	В. А. Обручев	1863	Плутония	1924	художественная	роман		В. А. Обручев. Плутония. Земля Санникова	1982	книга	омонимия не снята	Последнее, обезумев от боли, рванулось в сторону, вырвало весло из рук Макшеева и исчезло в реке, показав на мгновение свою широкую, буро-зеленую спину с двойным рядом чешуи вдоль хребта и короткий толстый хвост, который ударил по воде с такой силой, что обоих охотников с ног до головы окатило струями и брызгами воды.
вода около шлюпки в грохоте бешено 	рванулась	 	к небу.	Б. А. Пильняк. Мать сыра-земля (1924)	Б. А. Пильняк	1894	Мать сыра-земля	1924	художественная	повесть				книга	омонимия не снята	И когда шлюпка отчалила уже от парохода, за горой разорвался пушечный выстрел, и вода около шлюпки в грохоте бешено рванулась к небу.
отказался, каждый бы, назвав меня дураком, 	рванулся	 	бы за сыром.	М. М. Пришвин. Дневники (1924)	М. М. Пришвин	1873	Дневники	1924	публицистика	дневник, записные книжки		М. М. Пришвин. Дневники. 1923-1925. ― М.: Русская книга, 1999	1999	книга	омонимия не снята	Они кричали так, будто сыр это не был сыр, баловство, и не мой, а величайшей важности невиданная собственность, что я лично – ничто в сравнении с этим сыром и долг мой умереть за сыр: по крайней мере, если бы я отказался, каждый бы, назвав меня дураком, рванулся бы за сыром.
Вирка 	рванулась	, 	высвободила руку и с большой силой	Л. Н. Сейфуллина. Виринея (1924)	Л. Н. Сейфуллина	1889	Виринея	1924	художественная	повесть		Сейфулина Л. Н. Собрание соч. в 4 т	1969	книга	омонимия не снята	Вирка рванулась, высвободила руку и с большой силой ударила казака в переносицу.
уперлась обеими руками ему в грудь, 	рванулась	 	так, что он пошатнулся, наступая сзади	А. С. Серафимович. Железный поток (1924)	А. С. Серафимович	1863	Железный поток	1924	художественная	роман		«Железный поток»	1981	книга	омонимия не снята	Она уперлась обеими руками ему в грудь, рванулась так, что он пошатнулся, наступая сзади кому-то на ноги, на руки.
Лошади 	рванулись	, 	но конные, сверхъестественно ругаясь, со всего	А. С. Серафимович. Железный поток (1924)	А. С. Серафимович	1863	Железный поток	1924	художественная	роман		«Железный поток»	1981	книга	омонимия не снята	Лошади рванулись, но конные, сверхъестественно ругаясь, со всего плеча стали крестить нагайками лошадей по морде, по глазам, по ушам.
юбка, шелк зашуршал, мелькнули красные чулки, 	рванулся	 	высокий желтый гребень из тугого узла	Андрей Соболь. Когда цветет вишня (1924)	Андрей Соболь	1888	Когда цветет вишня	1924	художественная	рассказ		Круг: Альманах артели писателей	1925	книга	омонимия не снята	Дзюба, покачиваясь, сошел вниз, дернул к себе дверцу, – взметнулась темная юбка, шелк зашуршал, мелькнули красные чулки, рванулся высокий желтый гребень из тугого узла черных волос.
Песъ съ быстротой молніи 	рванулся	 	на кота съ такой силою, что	И. Д. Сургучев. Вѣчнoe // Златоцвѣтъ, 1924	И. Д. Сургучев	1881	Вѣчнoe	1924	художественная	рассказ		Златоцвѣтъ	1924	журнал	омонимия не снята	Песъ съ быстротой молніи рванулся на кота съ такой силою, что повалился стулъ и шарахнулись въ сторону негры.
И тройки с места 	рванулись	 	вскачь.	А. Н. Толстой. Похождения Невзорова, или Ибикус (1924)	А. Н. Толстой	1882	Похождения Невзорова, или Ибикус	1924	художественная	роман		Толстой А. Н. Собр. соч.: В 10 т. Т. 3	1958	книга	омонимия не снята	И тройки с места рванулись вскачь.
Картошин и Убейко 	рванулись	 	к нему.	А. Н. Толстой. Черная пятница (1924)	А. Н. Толстой	1882	Черная пятница	1924	художественная	рассказ		Толстой А.Н. Черная пятница. - Авт.сб. Эмигранты. - М., «Правда» , 1982	1982	книга	омонимия снята	Картошин и Убейко рванулись к нему.
скоро очумевшая от ужаса пятидесятитысячная масса 	рванулась	 	через границу и ушла в Китай...	Д. А. Фурманов. Мятеж (1924)	Д. А. Фурманов	1891	Мятеж	1924	художественная	роман		Фурманов Д. А. Рассказы. Повести. Заметки о литературе	1984	книга	омонимия не снята	Там, где врасплох заставали крестьян или задремавший отряд, киргизы расправлялись жестоко со своими угнетателями, но, разумеется, долго выдержать они не могли, были разбиты и здесь и там, были теснимы все дальше, все дальше от своих кишлаков, – и скоро очумевшая от ужаса пятидесятитысячная масса рванулась через границу и ушла в Китай...
сказочная весть коснулась киргизских кочевий, они 	рванулись	 	с голодных пустынь на запад, к	Д. А. Фурманов. Мятеж (1924)	Д. А. Фурманов	1891	Мятеж	1924	художественная	роман		Фурманов Д. А. Рассказы. Повести. Заметки о литературе	1984	книга	омонимия не снята	И как только эта чудесная, неожиданная, почти сказочная весть коснулась киргизских кочевий, они рванулись с голодных пустынь на запад, к родным краям...
Встать, 	рвануться	, 	оглушить, – это их дело, это по	Д. А. Фурманов. Мятеж (1924)	Д. А. Фурманов	1891	Мятеж	1924	художественная	роман		Фурманов Д. А. Рассказы. Повести. Заметки о литературе	1984	книга	омонимия не снята	Встать, рвануться, оглушить, – это их дело, это по плечу.
Ротмистр 	рванулся	 	из-за стола и бешено закричал: 	С. Ф. Буданцев. Лунный месяц Рамазан (1924-1925)	С. Ф. Буданцев	1896	Лунный месяц Рамазан	1924-1925	художественная	рассказ		Сергей Буданцев. Саранча	1992	книга	омонимия не снята	Ротмистр рванулся из-за стола и бешено закричал: 
что-то суровое и нежное, неизбывно жалостливое 	рванулось	 	и затрепетало в сердце.	А. А. Фадеев. Один в чаще (1924-1925)	А. А. Фадеев	1901	Один в чаще	1924-1925	художественная	повесть		А. Фадеев. Собр. соч.: В 3 т. Том 1	1981	книга	омонимия не снята	Старик почувствовал, как что-то суровое и нежное, неизбывно жалостливое рванулось и затрепетало в сердце.
Козы втиснулись, чабаны 	рванулись	 	со жбанов, схватили коз за хвосты	О. Д. Форш. Одеты камнем (1924-1925)	О. Д. Форш	1873	Одеты камнем	1924-1925	художественная	роман		О. Форш. Одеты камнем. Михайловский замок: Романы	1980	книга	омонимия не снята	Козы втиснулись, чабаны рванулись со жбанов, схватили коз за хвосты, развели им тонкие розовые ножки, посадили перед собою.
Огонь свечей 	рванулся	 	в сторону от ветра и стал	М. А. Алданов. Чертов мост (1925)	М. А. Алданов	1886	Чертов мост	1925	художественная	роман		М. А. Алданов. Собрание сочинений в шести томах. Том 1	1993	книга	омонимия не снята	Огонь свечей рванулся в сторону от ветра и стал выпрямляться.
Ветер 	рванулся	 	в избу и погасил свечи.	М. А. Алданов. Чертов мост (1925)	М. А. Алданов	1886	Чертов мост	1925	художественная	роман		М. А. Алданов. Собрание сочинений в шести томах. Том 1	1993	книга	омонимия не снята	Ветер рванулся в избу и погасил свечи.
Лошадь казака 	рванулась	 	в сторону и даже клячонка Суворова	М. А. Алданов. Чертов мост (1925)	М. А. Алданов	1886	Чертов мост	1925	художественная	роман		М. А. Алданов. Собрание сочинений в шести томах. Том 1	1993	книга	омонимия не снята	Лошадь казака рванулась в сторону и даже клячонка Суворова зашевелилась.
Вдруг сильный толчок поразил его, сердце 	рванулось	 	вниз, Штааль опять бессильно упал – дно	М. А. Алданов. Чертов мост (1925)	М. А. Алданов	1886	Чертов мост	1925	художественная	роман		М. А. Алданов. Собрание сочинений в шести томах. Том 1	1993	книга	омонимия не снята	Вдруг сильный толчок поразил его, сердце рванулось вниз, Штааль опять бессильно упал – дно пропасти было шершавое, суконное.
Затем все 	рванулось	 	вперед.	М. А. Алданов. Чертов мост (1925)	М. А. Алданов	1886	Чертов мост	1925	художественная	роман		М. А. Алданов. Собрание сочинений в шести томах. Том 1	1993	книга	омонимия не снята	Затем все рванулось вперед.
Под его ногой 	рванулось	 	что-то живое, на мгновенье он повис	М. А. Алданов. Чертов мост (1925)	М. А. Алданов	1886	Чертов мост	1925	художественная	роман		М. А. Алданов. Собрание сочинений в шести томах. Том 1	1993	книга	омонимия не снята	Под его ногой рванулось что-то живое, на мгновенье он повис на нем всей тяжестью, затем оттолкнулся от живого тела, почти как от трамплина когда-то на гимнастике.
Мещерский 	рванулся	 	с колен на ноги, взмахнул руками	М. А. Алданов. Чертов мост (1925)	М. А. Алданов	1886	Чертов мост	1925	художественная	роман		М. А. Алданов. Собрание сочинений в шести томах. Том 1	1993	книга	омонимия не снята	Мещерский рванулся с колен на ноги, взмахнул руками, зашатался и упал.
и, затрепетав всем телом, она инстинктивно 	рванулась	.		А. Р. Беляев. Голова профессора Доуэля (1925)	А. Р. Беляев	1884	Голова профессора Доуэля	1925	художественная	роман		Беляев А. Избранные романы. ― М.: Правда, 1987	1987	книга	омонимия не снята	мелькнуло в ее мозгу, и, затрепетав всем телом, она инстинктивно рванулась.
акушерка, видимо, очень опытная, как-то хищно 	рванулась	 	к фельдшеру и перехватила у него	М. А. Булгаков. Стальное горло (1925)	М. А. Булгаков	1891	Стальное горло	1925	художественная	рассказ		М. Булгаков. Собрание сочинений. - Т. 1: Записки покойника: Автобиографическая проза	2002	книга	омонимия не снята	Тут старшая акушерка, видимо, очень опытная, как-то хищно рванулась к фельдшеру и перехватила у него крючок, причем сказала, стиснув зубы: 
потом внезапно, как ветром его дунуло: 	рванется	, 	кинется за кем-то встречным, смотрит вслед.	С. Т. Григорьев. Казарма (1925)	С. Т. Григорьев	1875	Казарма	1925	художественная	повесть		Круг: Альманах артели писателей	1925	книга	омонимия не снята	Он, как все, шутит, занимает сестру разговором (она ему нравится), а потом внезапно, как ветром его дунуло: рванется, кинется за кем-то встречным, смотрит вслед.
Его тяжелое тело, казалось, 	рванется	 	с силой птицы.	А. С. Грин. Четырнадцать футов (1925)	А. С. Грин	1880	Четырнадцать футов	1925	художественная	рассказ		А. С. Грин. Собр. соч. в 6 т. Т. 6	1980	книга	омонимия не снята	Его тяжелое тело, казалось, рванется с силой птицы.
И спереди и сзади 	рванулись	 	двери, зазвенели продавленные стекла, ветер ухнул	И. В. Евдокимов. Колокола (1925)	И. В. Евдокимов	1887	Колокола	1925	художественная	роман		И. В. Евдокимов. Колокола. Архангельск: Северо-Западное книжное издательство, 1984	1983	книга	омонимия не снята	И спереди и сзади рванулись двери, зазвенели продавленные стекла, ветер ухнул по хомнатам, и дым пошел на улицу, зачадил едучей кислотой, качнулся над вывеской и проглотил ее золотую спину, замазал пухлой пуховкой гари и Серафима Пятачкова и мадам Эсфирь Марковну Шмуклер.
с гвоздем в шапку, сорвал ее, 	рванулся	 	сам – и поймал шапку, сжал ее	И. В. Евдокимов. Колокола (1925)	И. В. Евдокимов	1887	Колокола	1925	художественная	роман		И. В. Евдокимов. Колокола. Архангельск: Северо-Западное книжное издательство, 1984	1983	книга	омонимия не снята	Кукушкин вскочил, зажмурил глаза, наметился и вцепился вместе с гвоздем в шапку, сорвал ее, рванулся сам – и поймал шапку, сжал ее, засунул под тюфяк и лег на нее.
Олюнька 	рванулась	, 	соскользнула с плеча.	И. В. Евдокимов. Колокола (1925)	И. В. Евдокимов	1887	Колокола	1925	художественная	роман		И. В. Евдокимов. Колокола. Архангельск: Северо-Западное книжное издательство, 1984	1983	книга	омонимия не снята	Олюнька рванулась, соскользнула с плеча.
Кенка 	рванулся	, 	громко взревел.и побежал к двери.	И. В. Евдокимов. Сиверко (1925)	И. В. Евдокимов	1887	Сиверко	1925	художественная	повесть		И. В. Евдокимов. Колокола. Архангельск: Северо-Западное книжное издательство, 1983	1983	книга	омонимия не снята	Кенка рванулся, громко взревел.и побежал к двери.
Не бери за леску, уйдет, 	рванется	 	и уйдет.	И. В. Евдокимов. Сиверко (1925)	И. В. Евдокимов	1887	Сиверко	1925	художественная	повесть		И. В. Евдокимов. Колокола. Архангельск: Северо-Западное книжное издательство, 1983	1983	книга	омонимия не снята	Не бери за леску, уйдет, рванется и уйдет.
Как 	рванется	 	на кенгуру – раз! 	Б. С. Житков. Кенгура (1925)	Б. С. Житков	1882	Кенгура	1925	художественная	рассказ		Б. Житков. «Джарылгач». Рассказы и повести	1980	книга	омонимия не снята	Как рванется на кенгуру – раз! 
Не успел я опомниться, как Нена 	рванулась	 	вперед, послышался отчаянный петушиный крик, в	В. М. Зензинов. Нена (1925)	В. М. Зензинов	1880	Нена	1925	художественная	повесть		В. Зензинов. Нена	1925	книга	омонимия не снята	Не успел я опомниться, как Нена рванулась вперед, послышался отчаянный петушиный крик, в зубах Нены остался весь роскошный хвост петуха – его краса и гордость, а сам он успел перемахнуть через соседний плетень.
Она отчаянно 	рванулась	 	и забилась.	В. П. Катаев. Родион Жуков (1925)	В. П. Катаев	1897	Родион Жуков	1925	художественная	рассказ		Катаев В. Собр. соч.: В 9 т. Т. 1. Рассказы и сказки	1968	книга	омонимия не снята	Она отчаянно рванулась и забилась.
Яростно 	рванулась	 	дверь в третий раз, визгнув на	М. А. Кравков. Медвежья шкура (1925)	М. А. Кравков	1887	Медвежья шкура	1925	художественная	рассказ		Максимилиан Кравков. Ассирийская рукопись	1970	книга	омонимия не снята	Яростно рванулась дверь в третий раз, визгнув на петлях.
Секретарь 	рванулся	 	за ней, но остановился на полушаге	Б. А. Лавренев. Крушение республики Итль (1925)	Б. А. Лавренев	1891	Крушение республики Итль	1925	художественная	роман		Лавренев Б. Крушение республики Итль. ― М.: «Правда», 1990	1990	книга	омонимия не снята	Секретарь рванулся за ней, но остановился на полушаге и закрыл лицо руками, как получивший тяжелый нокаут боксерского кулака.
Господин Аткин 	рванулся	 	вперед, как ядро, выброшенное катапультой.	Б. А. Лавренев. Крушение республики Итль (1925)	Б. А. Лавренев	1891	Крушение республики Итль	1925	художественная	роман		Лавренев Б. Крушение республики Итль. ― М.: «Правда», 1990	1990	книга	омонимия не снята	Господин Аткин рванулся вперед, как ядро, выброшенное катапультой.
Автомобиль взвыл, 	рванулся	 	и, рыча, как доисторическое чудовище, ринулся	Б. А. Лавренев. Крушение республики Итль (1925)	Б. А. Лавренев	1891	Крушение республики Итль	1925	художественная	роман		Лавренев Б. Крушение республики Итль. ― М.: «Правда», 1990	1990	книга	омонимия не снята	Автомобиль взвыл, рванулся и, рыча, как доисторическое чудовище, ринулся в гущу толпы.
завопил он, и весь обезумевший муравейник 	рванулся	 	на пристань.	Б. А. Лавренев. Крушение республики Итль (1925)	Б. А. Лавренев	1891	Крушение республики Итль	1925	художественная	роман		Лавренев Б. Крушение республики Итль. ― М.: «Правда», 1990	1990	книга	омонимия не снята	завопил он, и весь обезумевший муравейник рванулся на пристань.
Я так и 	рванулся	.		М. М. Пришвин. Анчар (1925)	М. М. Пришвин	1873	Анчар	1925	художественная	рассказ		М. Пришвин. «Зеленый шум». Сборник	1983	книга	омонимия не снята	Я так и рванулся.
Он понял и 	рванулся	.		М. М. Пришвин. Школа в кустах (1925)	М. М. Пришвин	1873	Школа в кустах	1925	художественная	рассказ		М. Пришвин. «Зеленый шум». Сборник	1983	книга	омонимия не снята	Он понял и рванулся.
Изъ бабьихъ рукъ съ силой 	рванулся	.		Л. Сейфулина. Два друга (1925) // «Иллюстрированная Россiя», 1926	Л. Сейфулина	1889	Два друга	1925	художественная	рассказ		«Иллюстрированная Россiя»	1926	журнал	омонимия не снята	Изъ бабьихъ рукъ съ силой рванулся.
Лауриде Рист 	рванулся	 	было с места и – и, молча	А. М. Соболь. Рассказ о голубом покое (1925)	А. М. Соболь	1888	Рассказ о голубом покое	1925	художественная	повесть		Андрей Соболь. Рассказ о голубом покое. В девяти неправдоподобных главах	1925	книга	омонимия не снята	Лауриде Рист рванулся было с места и – и, молча, стал оседать: новый гость невозмутимо прошёл мимо него к своему месту, даже не глядя, и так же невозмутимо развернул свою хрустящую салфетку.
Аугуст Рисслер 	рванулся	 	за ним, но его удержал господин	А. М. Соболь. Рассказ о голубом покое (1925)	А. М. Соболь	1888	Рассказ о голубом покое	1925	художественная	повесть		Андрей Соболь. Рассказ о голубом покое. В девяти неправдоподобных главах	1925	книга	омонимия не снята	Аугуст Рисслер рванулся за ним, но его удержал господин советник.
Кюхля боком 	рванулся	 	вперед и судорожно пожал руки Рылееву.	Ю. Н. Тынянов. Кюхля (1925)	Ю. Н. Тынянов	1894	Кюхля	1925	художественная	роман		Ю. Н. Тынянов. Кюхля. Рассказы	1973	книга	омонимия не снята	Кюхля боком рванулся вперед и судорожно пожал руки Рылееву.
Вильгельм 	рванулся	 	изо всех сил и выволок ногу	Ю. Н. Тынянов. Кюхля (1925)	Ю. Н. Тынянов	1894	Кюхля	1925	художественная	роман		Ю. Н. Тынянов. Кюхля. Рассказы	1973	книга	омонимия не снята	Вильгельм рванулся изо всех сил и выволок ногу из-под коня.
Тройка зазвенела бубенцами, и кони 	рванулись	.		Ю. Н. Тынянов. Кюхля (1925)	Ю. Н. Тынянов	1894	Кюхля	1925	художественная	роман		Ю. Н. Тынянов. Кюхля. Рассказы	1973	книга	омонимия не снята	Тройка зазвенела бубенцами, и кони рванулись.
в костях винтовки, вспыхнули восторгом бойцы, 	рванулись	 	слепо, дико вперед, опрокинули, перевернули, погнали	Д. А. Фурманов. Фрунзе (1925)	Д. А. Фурманов	1891	Фрунзе	1925	публицистика	мемуары		Советский военный рассказ	1988	книга	омонимия не снята	Сжаты до хруста в костях винтовки, вспыхнули восторгом бойцы, рванулись слепо, дико вперед, опрокинули, перевернули, погнали недоуменные, перепуганные колонны.
Растерянно закружился на одном месте, потом 	рванулся	 	и подбежал к музыкантам.	М. А. Шолохов. Нахаленок (1925)	М. А. Шолохов	1905	Нахаленок	1925	художественная	рассказ		Шолохов М. А. Собр. соч.: В 8 т. Т. 1	1956	книга	омонимия не снята	Растерянно закружился на одном месте, потом рванулся и подбежал к музыкантам.
Савраска, почуявший близость лошадей, заржал и 	рванулся	, 	не слушаясь поводьев.	М. А. Шолохов. Нахаленок (1925)	М. А. Шолохов	1905	Нахаленок	1925	художественная	рассказ		Шолохов М. А. Собр. соч.: В 8 т. Т. 1	1956	книга	омонимия не снята	Мишка испуганно натянул поводья, но Савраска, почуявший близость лошадей, заржал и рванулся, не слушаясь поводьев.
Лошадь за ветряком 	рванулась	 	назад, сани испуганно завиляли по ухабистой	М. А. Шолохов. Продкомиссар (1925)	М. А. Шолохов	1905	Продкомиссар	1925	художественная	рассказ		Шолохов М. А. Собр. соч.: В 8 т. Т. 1	1956	книга	омонимия не снята	Лошадь за ветряком рванулась назад, сани испуганно завиляли по ухабистой дороге, и долго еще кивала крашеная дуга, маяча поверх голубой пелены осевшего снега.
Сиделец с рябым туповатым лицом 	рванулся	 – 	поношенная рубашка мягко расползлась у ворота	М. А. Шолохов. Путь-дороженька (1925)	М. А. Шолохов	1905	Путь-дороженька	1925	художественная	повесть		Шолохов М. А. Собр. соч.: В 8 т. Т. 1	1956	книга	омонимия не снята	Сиделец с рябым туповатым лицом рванулся – поношенная рубашка мягко расползлась у ворота – и, не размахиваясь, ударил старика в лицо.
	Рванулся	 	Петька вперед, на полу нащупал босой	М. А. Шолохов. Путь-дороженька (1925)	М. А. Шолохов	1905	Путь-дороженька	1925	художественная	повесть		Шолохов М. А. Собр. соч.: В 8 т. Т. 1	1956	книга	омонимия не снята	Рванулся Петька вперед, на полу нащупал босой ногой войлок, присел и молча охватил руками перевязанную отцову голову.
